mask,transform,cls,BQ,A,waste,flop_gain,kv_rows_per_tile,traffic_ratio,amortisable
causal,identity,A,32,32,1.0075665120820112,1.0,32,1.0,True
causal,identity,A,16,16,1.0036612155235538,1.0,16,1.0,True
causal,shear,B,32,32,1.0075665120820112,1.0,63,1.96875,False
causal,shear,B,16,16,1.0036612155235538,1.0,31,1.9375,False
causal,residue-perm-2,A,32,32,1.015377105198926,0.9923076923076923,32,1.0,True
causal,residue-perm-2,A,16,16,1.0075665120820112,0.9961240310077519,16,1.0,True
causal,residue-perm-4,A,32,32,1.0309982914327556,0.9772727272727273,32,1.0,True
causal,residue-perm-4,A,16,16,1.015377105198926,0.9884615384615385,16,1.0,True
causal,residue-perm-8,A,32,32,1.062240663900415,0.9485294117647058,32,1.0,True
causal,residue-perm-8,A,16,16,1.0309982914327556,0.9734848484848485,16,1.0,True
window-128,identity,A,32,32,1.249845009299442,1.0,32,1.0,True
window-128,identity,A,16,16,1.1248605083694978,1.0,16,1.0,True
window-128,shear,B,32,32,1.0038437693738376,1.2450592885375493,63,1.96875,False
window-128,shear,B,16,16,1.0018598884066956,1.1227722772277229,31,1.9375,False
window-128,residue-perm-2,A,32,32,1.4998140111593303,0.8333333333333334,32,1.0,True
window-128,residue-perm-2,A,16,16,1.249845009299442,0.9,16,1.0,True
window-128,residue-perm-4,A,32,32,1.9997520148791073,0.625,32,1.0,True
window-128,residue-perm-4,A,16,16,1.4998140111593303,0.75,16,1.0,True
window-128,residue-perm-8,A,32,32,3.9360198388096714,0.3175403225806452,32,1.0,True
window-128,residue-perm-8,A,16,16,1.9997520148791073,0.5625,16,1.0,True
window-256,identity,A,32,32,1.1248582587879552,1.0,32,1.0,True
window-256,identity,A,16,16,1.0623661332997354,1.0,16,1.0,True
window-256,shear,B,32,32,1.0039057578430137,1.1204819277108433,63,1.96875,False
window-256,shear,B,16,16,1.0018898828272647,1.0603621730382293,31,1.9375,False
window-256,residue-perm-2,A,32,32,1.2498425097643946,0.9,32,1.0,True
window-256,residue-perm-2,A,16,16,1.1248582587879552,0.9444444444444444,16,1.0,True
window-256,residue-perm-4,A,32,32,1.4998110117172736,0.75,32,1.0,True
window-256,residue-perm-4,A,16,16,1.2498425097643946,0.85,16,1.0,True
window-256,residue-perm-8,A,32,32,1.9997480156230314,0.5625,32,1.0,True
window-256,residue-perm-8,A,16,16,1.4998110117172736,0.7083333333333334,16,1.0,True
window-1024,identity,A,32,32,1.0311061514855628,1.0,32,1.0,True
window-1024,identity,A,16,16,1.015483331008509,1.0,16,1.0,True
window-1024,shear,B,32,32,1.0043241735248989,1.0266666666666666,63,1.96875,False
window-1024,shear,B,16,16,1.0020923420281769,1.0133630289532294,31,1.9375,False
window-1024,residue-perm-2,A,32,32,1.0623517924396708,0.9705882352941176,32,1.0,True
window-1024,residue-perm-2,A,16,16,1.0311061514855628,0.9848484848484849,16,1.0,True
window-1024,residue-perm-4,A,32,32,1.1248430743478868,0.9166666666666666,32,1.0,True
window-1024,residue-perm-4,A,16,16,1.0623517924396708,0.9558823529411765,16,1.0,True
window-1024,residue-perm-8,A,32,32,1.2498256381643187,0.825,32,1.0,True
window-1024,residue-perm-8,A,16,16,1.1248430743478868,0.9027777777777778,16,1.0,True
dilated-2,identity,A,32,32,2.014641288433382,1.0,32,1.0,True
