mask,family,data_dependent,N,density,live,cost_128x128,waste_128x128,cost_64x64,waste_64x64,cost_32x32,waste_32x32,cost_16x16,waste_16x16,sampled,speedup_vs_flex_32,speedup_vs_flex_16
causal,causal,0,4096,0.5001220703125,8390656,8650752.0,1.0309982914327556,8519680.0,1.015377105198926,8454144.0,1.0075665120820112,8421376.0,1.0036612155235538,0,1.0232558139534884,1.027237354085603
causal,causal,0,16384,0.500030517578125,134225920,135266304.0,1.0077509917607568,134742016.0,1.0038449801647849,134479872.0,1.0018919743667989,134348800.0,1.000915471467806,1,1.0058479532163742,1.006829268292683
causal,causal,0,65536,0.5000076293945312,2147516416,2151677952.0,1.001937836641897,2149580800.0,1.0009612890428308,2148532224.0,1.0004730152432977,2148007936.0,1.0002288783435311,1,1.0014641288433381,1.001708567244325
window-128,window,0,4096,0.030765533447265625,516160,1032192.0,1.9997520148791073,774144.0,1.4998140111593303,645120.0,1.249845009299442,580608.0,1.1248605083694978,0,1.6,1.7777777777777777
window-128,window,0,16384,0.0077822208404541016,2089024,4177920.0,1.9999387273674214,3133440.0,1.499954045525566,2611200.0,1.2499617046046383,2349056.0,1.1244753530835452,1,1.6,1.7785527462946817
window-128,window,0,65536,0.0019512325525283813,8380480,16760832.0,1.9999847264118522,12566528.0,1.499499789988163,10469376.0,1.2492573217763183,9420800.0,1.124136087670396,1,1.6009389671361502,1.7791304347826087
window-256,window,0,4096,0.06055450439453125,1015936,1523712.0,1.4998110117172736,1269760.0,1.2498425097643946,1142784.0,1.1248582587879552,1079296.0,1.0623661332997354,0,1.3333333333333333,1.411764705882353
window-256,window,0,16384,0.015503406524658203,4161664,6242304.0,1.499953864608003,5201920.0,1.2499615538400024,4681728.0,1.1249653984560022,4419584.0,1.0619752099160336,1,1.3333333333333333,1.41241890639481
window-256,window,0,65536,0.0038986504077911377,16744576,25116672.0,1.499988533600373,20922368.0,1.2495012116162272,18825216.0,1.1242575506241543,17776640.0,1.061635720128118,1,1.3342036553524803,1.4129032258064516
window-512,window,0,4096,0.1172027587890625,1966336,2457600.0,1.2498372607733368,2211840.0,1.1248535346960031,2088960.0,1.0623616716573363,2027520.0,1.031115740138003,0,1.1764705882352942,1.2121212121212122
window-512,window,0,16384,0.030762672424316406,8257792,10321920.0,1.2499612487212077,9289728.0,1.124965123849087,8773632.0,1.0624670614130267,8511488.0,1.0307220138264563,1,1.1764705882352942,1.2127045235803657
